make,model,year_range,price_range_low,price_range_high,category,drivetrain,fuel_type,mpg_city,mpg_highway,mpg_combined,annual_fuel_cost,maintenance_annual,insurance_annual,depreciation_3yr_percent,federal_tax_credit,ca_rebate,manufacturer_incentive,final_price_low,final_price_high,tco_3yr_low,tco_3yr_high,founder_credibility_score,reliability_score,coolness_score,notes
Nissan,Rogue,2023,27000,33000,Compact SUV,AWD,Gas,27,35,31,1100,650,350,28,0,0,500,26500,32500,20825,25625,5,6,5,"2023: Popular family SUV"
Nissan,Rogue,2022,25000,31000,Compact SUV,AWD,Gas,27,35,31,1100,650,350,30,0,0,500,24500,30500,19575,24375,5,6,5,"2022: Current generation"
Jeep,Grand Cherokee,2023,35000,50000,Mid-Size SUV,4WD,Gas,22,30,25,1400,800,500,30,0,0,1000,34000,49000,26200,37400,7,6,7,"2023: Off-road capability"
Jeep,Grand Cherokee,2022,32000,45000,Mid-Size SUV,4WD,Gas,22,30,25,1400,800,500,33,0,0,1000,31000,44000,24250,34250,7,6,7,"2022: Redesign year"
Jeep,Wrangler,2023,32000,45000,Compact SUV,4WD,Gas,20,24,22,1650,900,550,25,0,0,500,31500,44500,25950,35850,8,5,9,"2023: Iconic off-roader"
Jeep,Wrangler,2022,30000,42000,Compact SUV,4WD,Gas,20,24,22,1650,900,550,28,0,0,500,29500,41500,24350,33850,8,5,9,"2022: Current generation"
Chevrolet,Equinox,2023,26000,32000,Compact SUV,FWD,Gas,26,31,28,1200,650,350,30,0,0,1000,25000,31000,20500,25500,5,6,5,"2023: Budget family SUV"
Chevrolet,Equinox,2022,24000,30000,Compact SUV,FWD,Gas,26,31,28,1200,650,350,33,0,0,1000,23000,29000,19150,24150,5,6,5,"2022: Current generation"
GMC,Sierra,2023,35000,52000,Full-Size Truck,4WD,Gas,16,22,18,1850,750,400,30,0,0,1500,33500,50500,27350,40350,6,6,7,"2023: Silverado's upscale twin"
GMC,Sierra,2022,32000,48000,Full-Size Truck,4WD,Gas,16,22,18,1850,750,400,33,0,0,1500,30500,46500,25200,36900,6,6,7,"2022: Proven platform"
Ram,1500,2023,36000,55000,Full-Size Truck,4WD,Gas,17,23,20,1750,800,450,28,0,0,2000,34000,53000,27200,42200,7,6,8,"2023: Smooth ride, luxury interior"
Ram,1500,2022,33000,50000,Full-Size Truck,4WD,Gas,17,23,20,1750,800,450,31,0,0,2000,31000,48000,25450,38450,7,6,8,"2022: Current generation"
