make,model,year_range,price_range_low,price_range_high,category,drivetrain,fuel_type,mpg_city,mpg_highway,mpg_combined,annual_fuel_cost,maintenance_annual,insurance_annual,depreciation_3yr_percent,federal_tax_credit,ca_rebate,manufacturer_incentive,final_price_low,final_price_high,tco_3yr_low,tco_3yr_high,founder_credibility_score,reliability_score,coolness_score,notes
Toyota,RAV4 Hybrid,2021,28000,33000,Hybrid SUV,AWD,Hybrid,41,38,40,800,400,200,18,0,0,0,28000,33000,21840,26640,6,9,6,"2021: First year of current design"
Genesis,G70,2022,24000,29000,Luxury Sedan,RWD/AWD,Gas,22,31,25,1400,600,300,38,0,0,2000,22000,27000,18160,22660,8,8,7,"2022: Facelifted design, excellent warranty"
Genesis,G70,2021,22000,27000,Luxury Sedan,RWD/AWD,Gas,22,31,25,1400,600,300,42,0,0,2000,20000,25000,16840,21340,8,8,7,"2021: Pre-facelift but same drivetrain"
Genesis,G70,2020,20000,25000,Luxury Sedan,RWD/AWD,Gas,22,31,25,1400,600,300,45,0,0,2000,18000,23000,15480,19980,8,8,7,"2020: Launch year discounts, great value"
Honda,Civic,2024,25000,32000,Compact Sedan,FWD,Gas,32,42,35,1000,400,200,25,0,0,500,24500,31500,19600,25400,4,9,4,"2024: Latest 11th gen, premium interior"
Honda,Civic,2023,22000,28000,Compact Sedan,FWD,Gas,32,42,35,1000,400,200,28,0,0,500,21500,27500,17660,22260,4,9,4,"2023: First year 11th gen, modern design"
Honda,Civic,2022,20000,26000,Compact Sedan,FWD,Gas,32,42,35,1000,400,200,31,0,0,500,19500,25500,16200,21000,4,9,4,"2022: Last year 10th gen, proven reliability"
Honda,Civic,2021,18000,24000,Compact Sedan,FWD,Gas,32,42,35,1000,400,200,34,0,0,500,17500,23500,14620,19220,4,9,4,"2021: Mature 10th gen, excellent value"
Honda,Civic,2020,16000,22000,Compact Sedan,FWD,Gas,32,42,35,1000,400,200,37,0,0,500,15500,21500,12920,17520,4,9,4,"2020: Mid-cycle refresh, solid choice"
Porsche,Cayman,2023,55000,75000,Sports Car,RWD,Gas,20,28,22,1600,1200,700,18,0,0,0,55000,75000,44900,60100,10,9,10,"2023: Latest 718 generation, peak performance"
Porsche,Cayman,2022,50000,68000,Sports Car,RWD,Gas,20,28,22,1600,1200,700,20,0,0,0,50000,68000,41000,55600,10,9,10,"2022: Proven year, excellent availability"
Porsche,Cayman,2021,45000,62000,Sports Car,RWD,Gas,20,28,22,1600,1200,700,22,0,0,0,45000,62000,36900,50640,10,9,10,"2021: Same generation, lower entry price"
Porsche,Cayman,2020,42000,58000,Sports Car,RWD,Gas,20,28,22,1600,1200,700,25,0,0,0,42000,58000,34500,47100,10,9,10,"2020: Mid-cycle updates, sweet spot"
Porsche,Cayman,2019,38000,52000,Sports Car,RWD,Gas,20,28,22,1600,1200,700,28,0,0,0,38000,52000,31640,42560,10,9,10,"2019: Early 718 generation, best value"
Mazda,CX-5,2024,28000,35000,Compact SUV,AWD,Gas,24,30,26,1200,600,350,25,0,0,0,28000,35000,22000,27750,6,8,5,"2024: Latest design, premium interior"
Mazda,CX-5,2023,25000,32000,Compact SUV,AWD,Gas,24,30,26,1200,600,350,28,0,0,0,25000,32000,20500,26160,6,8,5,"2023: Current generation, proven platform"
Mazda,CX-5,2022,23000,29000,Compact SUV,AWD,Gas,24,30,26,1200,600,350,30,0,0,0,23000,29000,19300,24340,6,8,5,"2022: Mature design, reliable choice"
Mazda,CX-5,2021,21000,27000,Compact SUV,AWD,Gas,24,30,26,1200,600,350,32,0,0,0,21000,27000,18020,22980,6,8,5,"2021: Refresh year, good value"
Mazda,CX-5,2020,19000,25000,Compact SUV,AWD,Gas,24,30,26,1200,600,350,35,0,0,0,19000,25000,16650,21750,6,8,5,"2020: Pre-refresh, entry point"
Subaru,Outback,2024,30000,36000,Wagon SUV,AWD,Gas,26,33,29,1100,700,400,22,0,0,0,30000,36000,22060,26860,5,9,4,"2024: Latest tech, peak capability"
Subaru,Outback,2023,28000,34000,Wagon SUV,AWD,Gas,26,33,29,1100,700,400,25,0,0,0,28000,34000,21000,25800,5,9,4,"2023: Proven current gen"
Subaru,Outback,2022,26000,31000,Wagon SUV,AWD,Gas,26,33,29,1100,700,400,28,0,0,0,26000,31000,19480,23980,5,9,4,"2022: Mid-cycle year"
Subaru,Outback,2021,24000,29000,Wagon SUV,AWD,Gas,26,33,29,1100,700,400,30,0,0,0,24000,29000,18200,22700,5,9,4,"2021: Early current gen"
Subaru,Outback,2020,22000,27000,Wagon SUV,AWD,Gas,26,33,29,1100,700,400,32,0,0,0,22000,27000,16940,21440,5,9,4,"2020: Launch year discounts"
Hyundai,Ioniq 5,2024,35000,45000,EV SUV,RWD/AWD,Electric,114,94,104,275,400,350,45,7500,2000,0,25500,35500,16575,23075,8,7,7,"2024: Latest updates, charging improvements"
Hyundai,Ioniq 5,2023,30000,40000,EV SUV,RWD/AWD,Electric,114,94,104,275,400,350,50,7500,2000,0,20500,30500,13575,19575,8,7,7,"2023: Proven year, good availability"
Hyundai,Ioniq 5,2022,25000,35000,EV SUV,RWD/AWD,Electric,114,94,104,275,400,350,55,7500,2000,0,15500,25500,10575,16575,8,7,7,"2022: Launch year, massive depreciation"
Lexus,ES Hybrid,2024,38000,45000,Luxury Hybrid,FWD,Hybrid,43,44,44,700,400,300,20,0,0,0,38000,45000,26000,30600,7,9,6,"2024: Latest tech, minimal depreciation"
Lexus,ES Hybrid,2023,35000,42000,Luxury Hybrid,FWD,Hybrid,43,44,44,700,400,300,23,0,0,0,35000,42000,24050,28690,7,9,6,"2023: Current generation peak"
Lexus,ES Hybrid,2022,32000,38000,Luxury Hybrid,FWD,Hybrid,43,44,44,700,400,300,27,0,0,0,32000,38000,21640,26040,7,9,6,"2022: Proven reliability year"
Lexus,ES Hybrid,2021,28000,35000,Luxury Hybrid,FWD,Hybrid,43,44,44,700,400,300,30,0,0,0,28000,35000,19600,24500,7,9,6,"2021: Early current gen"
Lexus,ES Hybrid,2020,25000,32000,Luxury Hybrid,FWD,Hybrid,43,44,44,700,400,300,32,0,0,0,25000,32000,18000,23040,7,9,6,"2020: Last year previous gen"
