make,model,year_range,price_range_low,price_range_high,category,drivetrain,fuel_type,mpg_city,mpg_highway,mpg_combined,annual_fuel_cost,maintenance_annual,insurance_annual,depreciation_3yr_percent,federal_tax_credit,ca_rebate,manufacturer_incentive,final_price_low,final_price_high,tco_3yr_low,tco_3yr_high,founder_credibility_score,reliability_score,notes
Chevrolet,Bolt EUV,2022-2024,16000,24000,EV SUV,FWD,Electric,120,108,114,275,600,300,55,7500,2000,2000,6500,14500,6575,11575,5,6,"2023: $16k-$24k per Edmunds - 38% depreciation in 2 years, great value"
Chevrolet,Bolt EV,2020-2024,13000,21000,EV Hatchback,FWD,Electric,120,108,114,275,600,300,55,7500,2000,2000,3500,11500,5075,9575,4,6,"2022: $13k-$21k per Edmunds - 55% depreciation but cheapest EV available"
Nissan,Leaf,2018-2024,12000,25000,EV Hatchback,FWD,Electric,111,123,117,275,500,300,60,0,0,0,12000,25000,9275,17775,4,5,"Avoid older models - battery issues"
Volkswagen,ID.4,2021-2024,25000,35000,EV SUV,RWD/AWD,Electric,104,89,97,275,700,350,45,7500,2000,0,15500,25500,11325,17825,6,6,"German EV alternative"
Volvo,S60,2019-2024,22000,32000,Luxury Sedan,FWD/AWD,Gas,23,34,27,1250,800,400,35,0,0,0,22000,32000,18150,25650,7,8,"Swedish safety luxury"
Volvo,XC60,2018-2024,25000,40000,Luxury SUV,AWD,Gas,22,29,25,1400,900,450,32,0,0,0,25000,40000,20700,29700,7,8,"Safety-focused luxury SUV"
Alfa Romeo,Giulia,2017-2023,25000,40000,Luxury Sedan,RWD/AWD,Gas,24,33,27,1250,1200,500,45,0,0,0,25000,40000,21950,31450,9,4,"Gorgeous but unreliable"
Infiniti,Q50,2018-2024,18000,28000,Luxury Sedan,RWD/AWD,Gas,20,29,23,1550,700,350,35,0,0,0,18000,28000,15550,22550,6,6,"Nissan luxury platform"
Lincoln,Continental,2017-2020,20000,30000,Luxury Sedan,AWD,Gas,16,24,19,1800,800,400,40,0,0,0,20000,30000,18100,25600,6,6,"American luxury value"
Mazda,CX-5,2020-2024,18000,30000,Compact SUV,AWD,Gas,24,30,26,1200,600,350,30,0,0,0,18000,30000,15600,23400,6,8,"2023: $18k-$30k, 2022: $17k-$28k per Edmunds - solid 30% depreciation, reliable"
Subaru,Outback,2020-2024,22000,32000,Wagon SUV,AWD,Gas,26,33,29,1100,700,400,28,0,0,0,22000,32000,18100,25600,5,9,"AWD standard, excellent reliability, practical wagon design"
Volkswagen,Golf GTI,2019-2024,20000,30000,Sports Compact,FWD,Gas,24,32,27,1200,800,450,35,0,0,0,20000,30000,17500,25350,7,6,"Hot hatch enthusiast favorite, higher maintenance costs"
Mini,Cooper S,2019-2024,18000,28000,Premium Compact,FWD,Gas,26,34,29,1150,900,500,40,0,0,0,18000,28000,17100,25200,8,5,"Premium small car with style, BMW reliability concerns"
Ford,Mustang Mach-E,2021-2024,28000,42000,EV SUV,RWD/AWD,Electric,105,93,99,275,400,350,48,7500,2000,0,18500,32500,12575,21575,7,7,"American Tesla competitor, 48% EV depreciation"
Polestar,2,2021-2024,32000,48000,Premium EV Sedan,AWD,Electric,107,93,100,275,500,400,42,7500,2000,0,22500,38500,15075,25075,8,7,"Swedish Tesla Model 3 competitor, Volvo engineering"
Nissan,Ariya,2022-2024,30000,45000,EV SUV,FWD/AWD,Electric,106,99,103,275,450,350,50,7500,2000,0,20500,35500,13575,23075,6,6,"Newer Nissan EV SUV, better than Leaf reliability"
Nissan,Sentra,2020-2024,14000,20000,Budget Sedan,FWD,Gas,29,39,33,1050,450,250,38,0,0,500,13500,19500,12075,17325,3,7,"Ultra-budget reliable sedan option"
Kia,Forte,2019-2024,12000,18000,Budget Sedan,FWD,Gas,31,41,35,1000,500,300,42,0,0,1000,11000,17000,10350,15150,3,7,"Value compact sedan with 10-year warranty"
Hyundai,Accent,2018-2022,10000,16000,Budget Sedan,FWD,Gas,28,38,32,1100,550,350,45,0,0,1000,9000,15000,10050,14550,2,6,"Ultra-budget option, discontinued 2023"
Cadillac,CT4,2020-2024,24000,32000,Luxury Sedan,RWD/AWD,Gas,23,32,26,1300,800,400,40,0,0,2000,22000,30000,18700,24700,7,6,"American luxury revival, competitive pricing"
Lexus,NX Hybrid,2022-2024,30000,42000,Luxury Hybrid SUV,AWD,Hybrid,37,35,36,900,500,350,20,0,0,0,30000,42000,21400,29200,7,9,"Reliable luxury hybrid SUV, excellent retention"
Range Rover,Evoque,2019-2024,28000,38000,Luxury SUV,AWD,Gas,20,28,23,1550,1200,600,45,0,0,0,28000,38000,24100,31600,9,5,"British luxury SUV style, reliability concerns"
